phase,epoch,g_loss,d_loss,reward_mean,d_real_mean,d_fake_mean
pretrain_g,1,5.906423,,,,
pretrain_g,2,5.719229,,,,
pretrain_g,3,5.519886,,,,
pretrain_g,4,5.302279,,,,
pretrain_g,5,5.059445,,,,
pretrain_g,6,4.825279,,,,
pretrain_g,7,4.606515,,,,
pretrain_g,8,4.409471,,,,
pretrain_g,9,4.250755,,,,
pretrain_g,10,4.116656,,,,
pretrain_d,1,,1.416834,,0.4841,0.4989
pretrain_d,2,,1.316233,,0.5263,0.4902
pretrain_d,3,,1.229621,,0.5614,0.4786
pretrain_d,4,,1.150585,,0.5958,0.4682
pretrain_d,5,,1.069810,,0.6224,0.4476
pretrain_d,6,,1.005291,,0.6499,0.4357
pretrain_d,7,,0.933339,,0.6701,0.4111
pretrain_d,8,,0.844696,,0.6937,0.3784
pretrain_d,9,,0.791138,,0.7109,0.3596
pretrain_d,10,,0.712643,,0.7306,0.3253
adversarial,0,-0.743831,0.650823,0.2960,0.7461,0.2960
adversarial,1,-0.783463,0.583657,0.2642,0.7640,0.2642
adversarial,2,-0.788023,0.543782,0.2454,0.7785,0.2454
adversarial,3,-0.800727,0.480358,0.2222,0.8044,0.2222
adversarial,4,-0.792823,0.436617,0.2034,0.8216,0.2034
adversarial,5,-0.826251,0.405762,0.1778,0.8268,0.1778
adversarial,6,-0.830109,0.323395,0.1576,0.8653,0.1576
adversarial,7,-0.822656,0.314317,0.1399,0.8653,0.1399
adversarial,8,-0.817305,0.289377,0.1251,0.8737,0.1251
adversarial,9,-0.798106,0.246585,0.1133,0.8957,0.1133
adversarial,10,-0.784982,0.264386,0.1024,0.8832,0.1024
adversarial,11,-0.745416,0.232185,0.0945,0.8989,0.0945
adversarial,12,-0.717018,0.230343,0.0866,0.8986,0.0866
adversarial,13,-0.681372,0.172444,0.0790,0.9293,0.0790
adversarial,14,-0.622990,0.206493,0.0809,0.9130,0.0809
adversarial,15,-0.592916,0.173741,0.0751,0.9299,0.0751
adversarial,16,-0.553314,0.143962,0.0726,0.9479,0.0726
adversarial,17,-0.551706,0.153196,0.0623,0.9365,0.0623
adversarial,18,-0.532812,0.160338,0.0567,0.9309,0.0567
adversarial,19,-0.499922,0.137563,0.0538,0.9415,0.0538
adversarial,20,-0.471481,0.147224,0.0503,0.9347,0.0503
adversarial,21,-0.424819,0.122420,0.0519,0.9498,0.0519
adversarial,22,-0.413424,0.130898,0.0464,0.9414,0.0464
adversarial,23,-0.385348,0.107325,0.0447,0.9551,0.0447
adversarial,24,-0.353083,0.098334,0.0442,0.9593,0.0442
adversarial,25,-0.342566,0.091187,0.0397,0.9605,0.0397
adversarial,26,-0.341302,0.102671,0.0336,0.9499,0.0336
adversarial,27,-0.313109,0.083244,0.0329,0.9624,0.0329
adversarial,28,-0.271579,0.063019,0.0356,0.9771,0.0356
